UDISE Code,School Name,Report Date,Timestamp,Deworming tablets given (Yes/No),Total Student Enrolled (Class 1-5) Girls,Total Student Enrolled (Class 1-5) Boys,Total Student Enrolled (Class 6-12) Girls,Total Student Enrolled (Class 6-12) Boys,Total Students Administered Albendazole (Class 1-5) Girls,Total Students Administered Albendazole (Class 1-5) Boys,Total Students Administered Albendazole (Class 6-12) Girls,Total Students Administered Albendazole (Class 6-12) Boys,Students Experienced Side Effects (IFA) Girls,Students Experienced Side Effects (IFA) Boys,Students Referred to Health Facility Girls,Students Referred to Health Facility Boys
17080115101,OMORPUR L.P.SCHOOL,2025-12-01,09:01:18,Yes,21,23,0,0,21,23,0,0,,,,
17010206101,MAGALPARA LPS,2025-12-01,09:20:08,Yes,22,19,0,0,22,19,0,0,,,,
17110204502,DASPARA GOVT. LPS,2025-12-01,09:40:23,No,112,54,0,0,0,0,0,0,,,,
17110108902,JOYFAR LPS,2025-12-01,09:56:49,Yes,12,13,0,0,12,13,0,0,,,,
17110221602,BARMANPARA NON-GOVT. LPS,2025-12-01,10:02:53,Yes,10,5,0,0,10,5,0,0,,,,
17040403905,RUN THABAH MEMORIAL LPS PARIONG,2025-12-01,10:17:25,Yes,47,54,0,0,47,54,0,0,,,,
17040403910,RUNTHABAH MEMO UPS PARIONG,2025-12-01,10:21:20,Yes,0,0,45,54,0,0,45,54,,,,
17020320305,BALSRIGITTIM L.P.SCHOOL,2025-12-01,10:54:09,No,0,0,0,0,0,0,0,0,,,,
17020111702,NENGBROK UPGRADED U.P.SCHOOL,2025-12-01,11:03:27,Yes,0,0,20,17,0,0,20,16,,,,
17110216004,PATIJORA SSA UPS,2025-12-01,12:09:40,Yes,0,0,2,4,0,0,2,4,,,,
17020309003,RONGRENG BAIZA L.P.S,2025-12-01,13:07:31,No,50,41,0,0,0,0,0,0,,,,
17070103501,NONGBAH GOVT UPS,2025-12-01,13:30:13,Yes,0,0,63,70,0,0,63,69,,,,
17070115903,VALABHAI PATEL IAWMUSIANG GOVT LPS,2025-12-01,13:39:11,No,28,47,0,0,0,0,0,0,,,,
17070103506,NANGBAH IONGBIAM LPS,2025-12-01,13:43:40,Yes,5,18,0,0,5,18,0,0,,,,
17080134201,DILMA MONGPANGGRE U.P.SCHOOL,2025-12-01,14:35:07,Yes,0,0,25,21,0,0,26,21,,,,
17070102901,SAW BALANG UPS- SOHPHOH,2025-12-02,08:33:32,Yes,0,0,22,13,0,0,22,13,,,,
17110227601,DILSA ADING SSA UPS,2025-12-02,09:18:01,Yes,0,0,1,3,0,0,1,3,,,,
17080117902,CHISIM APAL U.P. SCHOOL,2025-12-02,09:29:19,Yes,0,0,8,5,0,0,8,5,,,,
17110111802,G-BAINAPARA UPS,2025-12-02,10:30:11,Yes,0,0,0,0,0,0,35,42,,,,
17070211501,THADBAMON GOVT LPS,2025-12-02,10:44:29,No,29,53,0,0,0,0,0,0,,,,
17060203701,POMKANIEW GOVT. LP SCHOOL,2025-12-02,10:47:48,No,0,0,0,0,0,0,0,0,,,,
17070100102,SOHMYNTING GOVT LPS,2025-12-02,11:51:26,No,76,66,0,0,0,0,0,0,,,,
17110213901,BHAIRAKUPI LPS,2025-12-02,12:02:14,Yes,41,22,0,0,41,22,0,0,,,,
17040128101,MADANJAIAW LPS,2025-12-02,12:44:29,Yes,155,82,73,0,49,54,0,0,,,,
17040403902,PARIONG GOVT UPS,2025-12-02,12:54:02,Yes,0,0,67,63,0,0,67,63,,,,
17070203202,MYNTKUNG UPS SSA,2025-12-02,13:47:03,Yes,0,0,15,10,0,0,15,10,,,,
17070108901,KHANDULI UPS,2025-12-02,14:52:16,No,0,0,0,0,0,0,0,0,,,,
17060901501,GOVT. BOYS HIGHER SECONDARY,2025-12-02,15:21:28,Yes,0,65,0,505,0,65,0,505,,,,
17060901501,GOVT. BOYS HIGHER SECONDARY,2025-12-02,15:22:08,Yes,0,65,0,505,0,65,0,505,,,,
17010616901,DARAK AKONGGRE SSA/ LPS,2025-12-02,15:20:57,Yes,22,23,0,0,22,23,0,0,,,,
17110222201,DANGSAPARA LPS,2025-12-02,15:53:38,Yes,4,12,0,0,4,12,0,0,,,,
17080146701,GABIL GOVT. L.P.SCHOOL,2025-12-03,09:50:09,Yes,135,62,73,0,73,62,0,0,,,,
17020206601,NEW KHERA L.P.S,2025-12-03,10:19:55,Yes,20,26,0,0,20,26,0,0,,,,
17110106702,BALLONGGRE SSA UPS,2025-12-03,10:20:48,Yes,0,0,17,15,0,0,17,15,,,,
17060200310,GORKHA LP,2025-12-03,11:51:42,Yes,106,110,0,0,31,50,0,0,,,,
17010207002,DUGALGRE LPS,2025-12-03,12:15:03,Yes,12,28,0,0,12,28,0,0,,,,
17050208803,MODERN UMKTIEH PRES L.P SCHOOL,2025-12-03,12:29:38,No,0,0,0,0,0,0,0,0,,,,
17020218601,NAPAK TANGKAMA L.P.SCHOOL,2025-12-03,13:21:30,Yes,41,54,0,0,31,45,0,0,,,,
17110110606,BELBARI SSA UPS,2025-12-03,15:13:10,Yes,0,0,26,35,0,0,26,35,,,,
17010134303,ABIMA GOVT. L.P.S.,2025-12-04,09:26:28,Yes,27,24,0,0,27,24,0,0,,,,
