district,block,cluster,udise,school,month,reportingDate,timestamp,ifaGiven,reasonNo,noOfWeeks,totalGirls,totalBoys,consuming4IfaGirls,consuming4IfaBoys,ifaSideEffectGirls,ifaSideEffectBoys,referredHealthFacilityGirls,referredHealthFacilityBoys
NORTH GARO HILLS,BAJENGDOBA,BAJENGDOBA CRC,17080115101,OMORPUR L.P.SCHOOL,12,2025-12-01,08:57:22,Yes,-,-,0,0,0,0,0,0,0,0
WEST GARO HILLS,DADENGGRE,MAGALPARA CRC,17010206101,MAGALPARA LPS,12,2025-12-01,09:14:02,Yes,-,-,8,7,0,0,8,7,0,0
WEST JAINTIA HILLS,THADLASKEIN,PYNTHOR LANGTEIN CRC,17070100703,PYNTHORLANGTEIN UPS,12,2025-12-01,10:13:46,Yes,-,-,3,1,0,0,3,1,0,0
EASTERN WEST KHASI HILLS,MAWTHADRAISHAN,PARIONG CRC,17040403905,RUN THABAH MEMORIAL LPS PARIONG,12,2025-12-01,10:15:21,Yes,-,-,26,24,0,0,0,0,0,0
EASTERN WEST KHASI HILLS,MAWTHADRAISHAN,PARIONG CRC,17040403910,RUNTHABAH MEMO UPS PARIONG,12,2025-12-01,10:19:49,Yes,-,-,45,54,0,0,0,0,0,0
EAST KHASI HILLS,MYLLIEM,NONGKSEH CRC,17060200502,NONGUMLONG SSA UP SCHOOL,12,2025-12-01,10:48:21,Yes,-,-,0,0,0,0,0,0,0,0
WEST GARO HILLS,DADENGGRE,AJIGRE CRC,17010207401,SONGADINGGRE GOVT. LPS,12,2025-12-01,10:49:47,Yes,-,-,0,0,0,0,0,0,0,0
WEST KHASI HILLS,MAWSHYNRUT,TYNGHOR CRC,17040128802,Nongsohram COJC UPS,12,2025-12-01,10:57:17,Yes,-,-,13,12,12,12,0,0,0,0
EAST GARO HILLS,RONGJENG,DARUGRE CRC,17020111702,NENGBROK UPGRADED U.P.SCHOOL,12,2025-12-01,11:01:59,Yes,-,-,20,16,20,16,20,16,0,0
WEST GARO HILLS,TIKRIKILLA,NOKATGRE CRC,17010302202,ANGARIPARA SSA UPS,12,2025-12-01,11:28:55,Yes,-,-,06,12,24,48,06,12,0,0
SOUTH WEST GARO HILLS,ZIKZAK,ZIKZAK CRC,17110216004,PATIJORA SSA UPS,12,2025-12-01,12:08:03,Yes,-,-,2,4,2,4,0,0,0,0
RI BHOI,UMLING,NONGKHRAH CRC,17050100111,MORNINGSTAR UP.SCHOOL,12,2025-12-01,12:17:25,Yes,-,-,210,165,210,165,210,165,210,165
RI BHOI,UMLING,NONGKHRAH CRC,17050100111,MORNINGSTAR UP.SCHOOL,12,2025-12-01,12:19:39,Yes,-,-,210,165,210,165,210,165,o,o
WEST GARO HILLS,DADENGGRE,MAGALPARA CRC,17010206302,JANGRAPARA UPS,12,2025-12-01,12:50:11,Yes,-,-,20,24,20,14,20,14,00,00
EAST JAINTIA HILLS,KHLIEHRIAT,KHLIEHRIAT CRC,17090103102,KHLIEHRIAT EAST GOVT LPS,12,2025-12-01,12:56:21,Yes,-,-,0,0,0,0,0,0,0,0
EAST GARO HILLS,SAMANDA,RONGRENGGRE CRC,17020309003,RONGRENG BAIZA L.P.S,12,2025-12-01,12:58:59,Yes,-,-,0,0,0,0,0,0,0,0
WEST JAINTIA HILLS,THADLASKEIN,NONGBAH CRC,17070103506,NANGBAH IONGBIAM LPS,12,2025-12-01,13:40:06,Yes,-,-,0,0,0,0,0,0,0,0
NORTH GARO HILLS,RESUBELPARA,RESUBELPARA CRC,17080134201,DILMA MONGPANGGRE U.P.SCHOOL,12,2025-12-01,14:33:23,Yes,-,-,26,21,26,21,26,21,3,2
SOUTH WEST KHASI HILLS,MAWKYRWAT,UMDOHLUN CRC,17100107108,UMDOHLUN COG UPS,12,2025-12-01,14:47:43,Yes,-,-,20,15,22,15,22,15,0,0
WEST JAINTIA HILLS,THADLASKEIN,PYNTHOR LANGTEIN CRC,17070102901,SAW BALANG UPS- SOHPHOH,12,2025-12-02,08:32:16,Yes,-,-,22,13,22,13,22,13,09,09
SOUTH WEST GARO HILLS,ZIKZAK,ZIKZAK CRC,17110227601,DILSA ADING SSA UPS,12,2025-12-02,09:14:27,Yes,-,-,0,0,0,0,1,3,0,0
NORTH GARO HILLS,RESUBELPARA,DAINADUBI CRC,17080117902,CHISIM APAL U.P. SCHOOL,12,2025-12-02,09:27:59,Yes,-,-,08,05,08,05,08,05,00,00
EAST JAINTIA HILLS,KHLIEHRIAT,KHLIEHRIAT CRC,17090103102,KHLIEHRIAT EAST GOVT LPS,12,2025-12-02,10:12:33,Yes,-,-,0,0,0,0,0,0,0,0
SOUTH WEST GARO HILLS,BETASING,AMPATI CRC,17110111802,G-BAINAPARA UPS,12,2025-12-02,10:28:08,Yes,-,-,35,42,140,168,0,0,0,0
SOUTH WEST GARO HILLS,ZIKZAK,DINGAMPARA CRC,17110225502,SOMONPARA MEGAPGRE LPS,12,2025-12-02,10:38:55,Yes,-,-,0,0,0,0,0,0,0,0
WEST JAINTIA HILLS,LASKEIN,THADBAMON CRC,17070211501,THADBAMON GOVT LPS,12,2025-12-02,10:40:29,Yes,-,-,00,00,00,00,00,00,00,00
EAST KHASI HILLS,MYLLIEM,MADAN IING SYIEM CRC,17060203701,POMKANIEW GOVT. LP SCHOOL,12,2025-12-02,10:46:59,Yes,-,-,0,0,0,0,0,0,0,0
WEST GARO HILLS,TURA URBAN AREA,CHUNMATI CRC,17010700309,SRI GOUDIYA VIDYAPITH UPS,12,2025-12-02,10:58:11,Yes,-,-,26,24,26,24,0,0,0,0
WEST JAINTIA HILLS,THADLASKEIN,PYNTHOR LANGTEIN CRC,17070100102,SOHMYNTING GOVT LPS,12,2025-12-02,11:47:15,Yes,-,-,0,0,0,0,0,0,0,0
WEST JAINTIA HILLS,THADLASKEIN,PYNTHOR LANGTEIN CRC,17070100102,SOHMYNTING GOVT LPS,12,2025-12-02,11:49:43,Yes,-,-,33,26,0,0,0,0,0,0
SOUTH WEST GARO HILLS,ZIKZAK,ZIKZAK CRC,17110213901,BHAIRAKUPI LPS,12,2025-12-02,11:57:45,Yes,-,-,13,8,13,8,13,8,00,00
EAST KHASI HILLS,SHILLONG MUNICIPAL AND CANTT,LAITUMKHRAH CRC,17060902005,MAWPREM PRES NEPALI UP SCHOOL,12,2025-12-02,12:33:08,Yes,-,-,0,0,0,0,0,0,0,0
WEST KHASI HILLS,MAWSHYNRUT,RIANGDO CRC,17040128101,MADANJAIAW LPS,12,2025-12-02,12:34:41,Yes,-,-,00,00,00,00,oo,oo,oo,oo
NORTH GARO HILLS,RESUBELPARA,DAMAS CRC,17080130401,LOWER CHIMATCHA U.P.SCHOOL,12,2025-12-02,12:51:42,Yes,-,-,38,29,38,29,38,29,no,no
EASTERN WEST KHASI HILLS,MAWTHADRAISHAN,PARIONG CRC,17040403902,PARIONG GOVT UPS,12,2025-12-02,12:53:10,Yes,-,-,00,0,0,0,0,0,0,0
EAST JAINTIA HILLS,KHLIEHRIAT,UMKIANG CRC,17090113902,DONA SKUR UPS,12,2025-12-02,13:16:10,Yes,-,-,21,13,0,0,21,13,0,0
WEST JAINTIA HILLS,LASKEIN,PASYIH CRC,17070203202,MYNTKUNG UPS SSA,12,2025-12-02,13:44:53,Yes,-,-,15,10,15,10,15,10,0,0
WEST JAINTIA HILLS,THADLASKEIN,PYNTHOR LANGTEIN CRC,17070108901,KHANDULI UPS,12,2025-12-02,14:49:58,Yes,-,-,70,38,66,35,0,0,63,34
EAST KHASI HILLS,SHILLONG MUNICIPAL AND CANTT.,JAIAW CRC,17060901501,GOVT. BOYS HIGHER SECONDARY,12,2025-12-02,15:16:24,Yes,-,-,0,550,0,550,0,550,0,0
WEST GARO HILLS,GAMBEGRE,DALUAGRE CRC,17010616901,DARAK AKONGGRE SSA/ LPS,12,2025-12-02,15:17:58,Yes,-,-,0,0,0,0,0,0,0,0
SOUTH WEST GARO HILLS,ZIKZAK,KATULI BAZAR CRC,17110222201,DANGSAPARA LPS,12,2025-12-02,15:50:58,Yes,-,-,3,5,0,0,3,8,0,0
NORTH GARO HILLS,BAJENGDOBA,GABIL CRC,17080146701,GABIL GOVT. L.P.SCHOOL,12,2025-12-03,09:41:42,Yes,-,-,0,o,0,0,0,0,0,0
EAST GARO HILLS,SONGSAK,RONGAP CRC,17020206601,NEW KHERA L.P.S,12,2025-12-03,10:18:01,Yes,-,-,10,13,0,0,20,26,7,8
SOUTH WEST GARO HILLS,DAMALGRE,WAKKAGRE CRC,17110106702,BALLONGGRE SSA UPS,12,2025-12-03,10:19:47,Yes,-,-,17,15,17,15,17,15,0,0
WEST GARO HILLS,TURA URBAN AREA,SATSANG CRC,17010700304,GORKHA DEFICIT UPS,12,2025-12-03,12:03:51,Yes,-,-,55,39,0,0,55,39,0,0
WEST GARO HILLS,DADENGGRE,SAKA BOLDAKGRE CRC,17010207002,DUGALGRE LPS,12,2025-12-03,12:13:53,Yes,-,-,0,0,0,0,12,28,0,0
RI BHOI,BHOIRYMBONG,LIARBANG CRC,17050208803,MODERN UMKTIEH PRES L.P SCHOOL,12,2025-12-03,12:28:30,Yes,-,-,0,0,0,0,0,0,0,0
EAST GARO HILLS,SONGSAK,NAPAK CRC,17020218601,NAPAK TANGKAMA L.P.SCHOOL,12,2025-12-03,13:18:23,Yes,-,-,23,30,18,25,18,25,0,0
WEST GARO HILLS,DADENGGRE,MAGALPARA CRC,17010206302,JANGRAPARA UPS,12,2025-12-03,13:52:47,Yes,-,-,20,14,20,14,20,14,00,00
SOUTH WEST GARO HILLS,BETASING,MONABARI CRC,17110110606,BELBARI SSA UPS,12,2025-12-03,15:11:59,Yes,-,-,26,35,26,35,26,35,0,0
NORTH GARO HILLS,KHARKUTTA,CHIKAL SONGMA CRC,17080210601,CHIKAL SONGMA U.P.S,12,2025-12-04,08:30:43,Yes,-,-,7,7,6,6,6,6,7,7
WEST GARO HILLS,SELSELLA,RAMJONGGRE CRC,17010134303,ABIMA GOVT. L.P.S.,12,2025-12-04,09:22:59,Yes,-,-,0,0,0,0,0,0,0,0
WEST GARO HILLS,DADENGGRE,DAMAL ASIM CRC,17010202801,MADARIGRE GOVT. LPS,12,2025-12-04,10:52:21,Yes,-,-,6,20,4,7,0,0,0,0
RI BHOI,UMLING,NONGKHRAH CRC,17050100902,UP SCHOOL PAHAMBIR LUM,12,2025-12-04,11:09:39,Yes,-,-,4,6,4,6,0,0,0,0
EAST KHASI HILLS,MAWPHLANG,RANGSHKEN CRC,17060114901,MAWMYRSIANG UMTYRNIUT PRES. LP,12,2025-12-04,12:29:45,Yes,-,-,0,0,0,0,0,0,0,0
EAST KHASI HILLS,MAWPHLANG,MAWNGAP CRC,17060101301,LWAI PRES. SSA UPS,12,2025-12-04,13:44:23,Yes,-,-,2,10,0,0,0,0,0,0
WEST GARO HILLS,DALU,KHERAPARA CRC,17010503302,ANGGALANGGRE UPS,12,2025-12-04,14:06:31,Yes,-,-,8,18,8,18,8,18,0,0
WEST GARO HILLS,SELSELLA,RAMJONGGRE CRC,17010100202,RAMJONGGRI UPS,12,2025-12-05,09:23:35,Yes,-,-,50,30,50,30,0,0,0,0
SOUTH WEST GARO HILLS,ZIKZAK,ARAKGITTIM CRC,17110207503,NEW TARAPARA LPS,12,2025-12-05,09:53:59,Yes,-,-,00,00,00,00,00,00,00,00
WEST JAINTIA HILLS,THADLASKEIN,IONGPIAH CRC,17070115502,POHMUSIANG SSA UPS,12,2025-12-05,10:55:30,Yes,-,-,02,10,02,10,0,0,0,0
WEST JAINTIA HILLS,THADLASKEIN,IONGPIAH CRC,17070115702,PANALIAR UPS,12,2025-12-05,11:11:21,Yes,-,-,41,37,41,37,41,37,0,0
WEST KHASI HILLS,MAWTHADRAISHAN,MARKASA CRC,17040403102,MAWPHANLUR UPS,12,2025-12-05,11:39:19,Yes,-,-,6,17,6,17,6,17,6,17
SOUTH WEST GARO HILLS,ZIKZAK,NOGORPARA CRC,17110200302,LOKAICHAR UPS,12,2025-12-05,13:09:19,Yes,-,-,13,06,13,06,13,06,0,0
WEST GARO HILLS,GAMBEGRE,DALUAGRE CRC,17010616901,DARAK AKONGGRE SSA/ LPS,12,2025-12-05,13:57:56,Yes,-,-,0,0,0,0,22,23,0,0
