district,block,cluster,udise,school,month,reportingDate,timestamp,ifaGiven,reasonNo,noOfWeeks,totalGirls,totalBoys,consuming4IfaGirls,consuming4IfaBoys,ifaSideEffectGirls,ifaSideEffectBoys,referredHealthFacilityGirls,referredHealthFacilityBoys
NORTH GARO HILLS,BAJENGDOBA,BAJENGDOBA CRC,17080115101,OMORPUR L.P.SCHOOL,12,2025-12-01,08:58:02,Yes,-,-,0,0,0,0,0,0,0,0
WEST GARO HILLS,DADENGGRE,MAGALPARA CRC,17010206101,MAGALPARA LPS,12,2025-12-01,09:15:57,Yes,-,-,12,15,0,0,12,15,0,021
SOUTH WEST GARO HILLS,BETASING,MONABARI CRC,17110108902,JOYFAR LPS,12,2025-12-01,09:54:20,Yes,-,-,12,13,12,13,12,13,7,8
SOUTH WEST GARO HILLS,ZIKZAK,BOLDAMGRE CRC,17110221602,BARMANPARA NON-GOVT. LPS,12,2025-12-01,10:04:53,Yes,-,-,0,0,0,0,10,5,0,0
EASTERN WEST KHASI HILLS,MAWTHADRAISHAN,PARIONG CRC,17040403905,RUN THABAH MEMORIAL LPS PARIONG,12,2025-12-01,10:16:19,Yes,-,-,34,45,0,0,0,0,0,0
EASTERN WEST KHASI HILLS,MAWTHADRAISHAN,PARIONG CRC,17040403910,RUNTHABAH MEMO UPS PARIONG,12,2025-12-01,10:20:24,Yes,-,-,0,0,0,0,0,0,0,0
SOUTH WEST GARO HILLS,ZIKZAK,ZIKZAK CRC,17110216301,MAGURMARI LPS,12,2025-12-01,10:21:09,Yes,-,-,16,18,16,18,16,18,No,No
EAST GARO HILLS,SAMANDA,BALSRIGITTIM CRC,17020320305,BALSRIGITTIM L.P.SCHOOL,12,2025-12-01,10:53:24,Yes,-,-,0,0,0,0,0,0,0,0
WEST GARO HILLS,DADENGGRE,AJIGRE CRC,17010207401,SONGADINGGRE GOVT. LPS,12,2025-12-01,10:53:47,Yes,-,-,13,15,13,15,13,15,0,0
EAST GARO HILLS,SAMANDA,RONGRENGGRE CRC,17020309003,RONGRENG BAIZA L.P.S,12,2025-12-01,13:02:00,Yes,-,-,0,0,0,0,0,0,0,0
WEST JAINTIA HILLS,THADLASKEIN,POHSAWIAR CRC,17070115903,VALABHAI PATEL IAWMUSIANG GOVT LPS,12,2025-12-01,13:38:30,Yes,-,-,28,47,0,0,0,0,0,0
WEST JAINTIA HILLS,THADLASKEIN,NONGBAH CRC,17070103506,NANGBAH IONGBIAM LPS,12,2025-12-01,13:42:43,Yes,-,-,11,25,0,0,11,25,0,0
NORTH GARO HILLS,RESUBELPARA,RESUBELPARA CRC,17080134201,DILMA MONGPANGGRE U.P.SCHOOL,12,2025-12-01,14:34:29,Yes,-,-,0,0,0,0,0,0,00,0
SOUTH WEST GARO HILLS,ZIKZAK,ZIKZAK CRC,17110227601,DILSA ADING SSA UPS,12,2025-12-02,09:16:15,Yes,-,-,0,0,0,0,1,3,0,0
SOUTH WEST GARO HILLS,DAMALGRE,WAKKAGRE CRC,17110107001,LOWER RONGBAKGRE SSA LPS,12,2025-12-02,09:59:31,Yes,-,-,7,5,7,5,7,5,7,5
SOUTH WEST GARO HILLS,BETASING,AMPATI CRC,17110111802,G-BAINAPARA UPS,12,2025-12-02,10:28:57,Yes,-,-,0,0,0,0,0,0,0,0
