UDISE Code,School Name,Report Date,Timestamp,Total Student Enrolment without Aadhaar,Total Aadhaar Based Student Enrolment,Kitchen Sheds Available,Conditions of Kitchen Sheds,Kitchen Device Available,Conditions of Kitchen Device,Food Grain Available,Food Grain Unavailable Reason,No of Cook Engaged,Reason if cook not Available,Best Practices Adopted,Name the Best Practices,Nutrition Kitchen Grade,Types of Vegetables Grown,School Fencing Facilities,Handwashing Facilities,Drinking Water Facilities,Source of Water Facilities,Tithi Bhojan Celebrated,"If Yes, How Many Days",No. of Children Benefited,Monthly School Introspection,Monthly School Inspection
17010105501,BOLBOKGRE GOVT. LP SCHOOL,2025-12-03,12:11:20,18,9,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,No,Yes,Yes,Yes,,,27,,
17110215701,BOLCHUGRE LPS,2025-12-01,13:25:04,20,15,Yes,Need Minor Repair,Yes,Need Replacement,Yes,-,Yes,-,No,-,-,-,No,No,No,No,,,35,,
17010105401,BOLLONGGRE GOVT. LPS,2025-12-05,14:01:55,16,2,Yes,Need Major Repair,Yes,Need Replacement,Yes,-,Yes,-,No,-,-,-,No,No,No,Yes,,,18,,
17110219602,BOLLONGGRE GOVT. LPS,2025-12-01,10:14:53,11,43,Yes,Need Store Room,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,No,No,No,Yes,,,54,,
17110101001,CHIGITCHAKGRE GOVT. LPS,2025-12-01,09:09:04,9,13,Yes,Need Major Repair,Yes,Need Replacement,Yes,-,Yes,-,No,-,-,-,,,,,,,22,,
17040207202,LAMJINGSHAI LPS,2025-12-02,13:01:18,19,42,Yes,Need Minor Repair,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,No,No,Yes,Yes,,,61,,
17090103003,LITTLE FLOWER UPS,2025-12-03,10:43:11,36,53,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,Yes,Yes,Yes,Yes,,,89,,
17070113001,LUMROT LPS,2025-12-01,09:54:33,0,7,Yes,Need Replacement,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,No,Yes,No,No,,,7,,
17070113002,LUMROT LPS,2025-12-02,12:06:17,0,0,Yes,Good Condition,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,No,Yes,No,Yes,,,0,,
17110107801,MANDAGRE LPS,2025-12-03,08:14:04,6,16,Yes,Need Replacement,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,No,No,No,No,,,22,,
17100116703,MAWTHADSOHRIEW LPS,2025-12-01,12:58:37,5,15,Yes,Need Replacement,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,No,No,No,No,,,20,,
17070111001,NONGDHAR LPS,2025-12-02,11:02:46,7,26,Yes,Good Condition,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,No,No,No,No,,,33,,
17060100906,PDENGSHNONG LPS,2025-12-01,10:15:32,37,19,Yes,Need Minor Repair,Yes,Need Replacement,Yes,-,Yes,-,No,-,-,-,No,No,No,No,,,56,,
17100212701,25 MILE PRES LPS,2025-12-04,09:19:56,15,4,No,Fully Damaged,No,Need Replacement,Yes,-,Yes,-,No,-,-,-,No,No,Yes,Yes,,,19,,
17010134303,ABIMA GOVT. L.P.S.,2025-12-04,09:20:18,5,46,Yes,Need Major Repair,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,No,Yes,Yes,Yes,,,51,,
17110102502,AGALGRE UPS,2025-12-04,09:15:12,4,38,Yes,Need Store Room,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,,,,,,,42,,
17010410602,AGURAGRE SECONDARY SCHOOL (SSA),2025-12-04,11:59:09,19,110,Yes,Need Store Room,No,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,No,No,No,Yes,,,129,,
17010203701,AIGRE SONGGITCHAM GOVT. LPS,2025-12-04,11:22:39,42,42,Yes,Need Store Room,No,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,No,No,No,Yes,,,84,,
17070202503,ALBERT IAKAI MEMO LPS SHANGPUNG,2025-12-02,10:29:27,6,21,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,Yes,Yes,Yes,Yes,,,27,,
17070202512,ALBERT IAKAI MEMORIAL UPS,2025-12-02,10:28:30,2,35,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,Yes,Yes,Yes,Yes,,,37,,
17110122201,ALLABAGRE SONGGITCHAM LPS,2025-12-01,09:24:13,1,10,Yes,Need Major Repair,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,,,,,,,11,,
17110100305,AMPATI SONGGITTAL SSA LPS,2025-12-01,08:34:43,3,16,Yes,Need Major Repair,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,No,Yes,Yes,Yes,,,19,,
17110116902,AMPATIHAT GOVT. LPS,2025-12-01,08:12:51,0,14,Yes,Need Replacement,No,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,Yes,No,No,No,,,14,,
17070302301,AMSYRWAI LPS,2025-12-03,08:53:06,0,2,Yes,Good Condition,Yes,Need Replacement,Yes,-,Yes,-,No,-,-,-,No,Yes,Yes,Yes,,,2,,
17070304801,AMTRA GOVT LPS,2025-12-01,14:18:37,,,Yes,Need Store Room,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,,,,,,,0,,
17010503302,ANGGALANGGRE UPS,2025-12-04,14:19:24,23,3,Yes,Need Replacement,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,No,Yes,Yes,Yes,,,26,,
17110108201,ANTEKAGRE LPS,2025-12-01,15:43:10,5,7,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,No,Yes,No,No,,,12,,
17110116701,ARA-URA LPS,2025-12-04,09:28:23,1,38,Yes,Need Minor Repair,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,Yes,Yes,Yes,Yes,,,39,,
17110114402,ASANGGRE SSA UPS,2025-12-01,09:24:43,0,0,Yes,Good Condition,Yes,Good Condition,No,Food Grain Not Received,No,-,No,-,-,-,No,No,No,Yes,,,0,,
17110104902,ASINAGRE GOVT. LPS,2025-12-01,08:30:30,2,6,No,Fully Damaged,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,No,No,Yes,No,,,8,,
17110124602,BAIRAGIPARA SSA LPS,2025-12-01,09:17:18,0,58,Yes,Need Major Repair,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,No,No,No,Yes,,,58,,
17030211321,BAJRAGRE L.P.S,2025-12-01,10:25:21,0,6,Yes,Good Condition,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,No,No,Yes,Yes,,,6,,
17110206903,BAKDAGRE SSA UPS,2025-12-01,14:32:23,6,40,Yes,Need Major Repair,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,Yes,Yes,Yes,Yes,,,46,,
17010108602,BALACHANDA II SSA LPS,2025-12-02,09:36:13,10,33,Yes,Need Major Repair,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,No,Yes,Yes,Yes,,,43,,
17010203201,BALJEK SONGGITCHAM GOVT. LPS,2025-12-02,15:43:52,29,33,Yes,Need Major Repair,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,No,Yes,Yes,Yes,,,62,,
17110106702,BALLONGGRE SSA UPS,2025-12-03,10:18:08,23,9,Yes,Need Minor Repair,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,No,Yes,Yes,Yes,,,32,,
17030213803,BALSALGITTIM LPS,2025-12-04,09:40:13,0,2,Yes,Need Store Room,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,No,No,No,No,,,2,,
17020320305,BALSRIGITTIM L.P.SCHOOL,2025-12-01,10:51:42,10,35,Yes,Need Replacement,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,No,Yes,No,No,,,45,,
17090200901,BAMKHOSNGI LPS,2025-12-02,13:41:43,40,11,Yes,Need Replacement,Yes,Need Replacement,Yes,-,Yes,-,No,-,-,-,No,Yes,Yes,Yes,,,51,,
17040104602,BANGLAPLUH UPS,2025-12-01,14:19:19,0,37,Yes,Need Minor Repair,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,No,No,No,Yes,,,37,,
17110203016,BARMANPARA B SSA UPS,2025-12-02,09:46:40,10,8,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,No,Yes,Yes,Yes,,,18,,
17110221602,BARMANPARA NON-GOVT. LPS,2025-12-01,10:00:12,0,15,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,Yes,No,No,No,,,15,,
17110203401,BARMANPARA SSA LPS,2025-12-02,09:41:21,2,8,Yes,Good Condition,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,Yes,Yes,Yes,Yes,,,10,,
17110203402,BARMANPARA UPS,2025-12-01,11:59:45,1,21,Yes,Need Major Repair,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,Yes,Yes,Yes,Yes,,,22,,
17110110606,BELBARI SSA UPS,2025-12-03,15:09:05,0,61,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,No,Yes,Yes,Yes,,,61,,
17110204702,BEPARIPARA SSA UPS,2025-12-04,10:08:04,2,36,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,No,Yes,Yes,Yes,,,38,,
17110213901,BHAIRAKUPI LPS,2025-12-02,11:34:30,6,58,Yes,Need Major Repair,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,No,Yes,Yes,Yes,,,64,,
17110223301,BILDOBA GOVT. LPS,2025-12-05,13:17:58,0,25,Yes,Need Minor Repair,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,No,Yes,Yes,Yes,,,25,,
17110101302,BOLCHUGRE SSA LPS,2025-12-03,12:52:44,23,10,Yes,Need Minor Repair,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,No,No,No,No,,,33,,
17010104201,BOLDAMGRE NON-GOVT. LP SCHOOL,2025-12-04,12:38:12,,,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,,,,,,,0,,
17110115801,BOLSALGRE GOVT. LPS,2025-12-01,11:32:03,2,21,Yes,Need Replacement,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,No,No,No,Yes,,,23,,
17110204001,BOTTALA LPS,2025-12-01,12:00:00,7,50,Yes,Need Major Repair,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,No,Yes,Yes,Yes,,,57,,
17010210001,CHANANGPARA LPS,2025-12-02,09:45:45,,,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,,,,,,,0,,
17010134101,CHANDRAPATHER L.P.S.,2025-12-03,10:04:47,,,Yes,Need Replacement,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,,,,,,,0,,
17110100503,CHELIPARA SSA UPS,2025-12-03,10:01:56,11,18,Yes,Need Replacement,No,Need Replacement,No,Food Grain Not Received,Yes,-,No,-,-,-,No,No,No,No,,,29,,
17110211802,CHEPAGRE SOROKGITTIM LPS,2025-12-02,10:53:01,16,30,Yes,Need Major Repair,Yes,Need Replacement,Yes,-,Yes,-,No,-,-,-,No,Yes,Yes,Yes,,,46,,
17100200601,CHIBAK GOVT LPS,2025-12-03,11:51:53,,,No,Need Replacement,No,Need Replacement,Yes,-,Yes,-,No,-,-,-,,,,,,,0,,
17010207901,CHIBONG APAL LPS,2025-12-05,10:19:07,,,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,,,,,,,0,,
17030201932,CHIBRENGGRE L.P.S.,2025-12-01,10:29:17,82,5,Yes,Need Store Room,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,Yes,Yes,Yes,Yes,,,87,,
17080213601,CHIGRANGGRE GOVT. L.P.S,2025-12-05,09:10:49,5,2,Yes,Need Store Room,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,,,,,,,7,,
17110106301,CHIMISENGGRE NON-GOVT. LPS,2025-12-03,13:26:13,9,11,Yes,Need Replacement,Yes,Need Replacement,Yes,-,Yes,-,No,-,-,-,No,No,No,No,,,20,,
17010103001,CHIMISENGGRI SSA LP SCHOOL,2025-12-02,09:26:23,0,0,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,No,No,Yes,Yes,,,0,,
17010312801,CHINARAMGRI GOVT. LPS,2025-12-03,10:34:39,1,23,No,Fully Damaged,No,Need Replacement,Yes,-,Yes,-,No,-,-,-,No,No,No,No,,,24,,
17080117902,CHISIM APAL U.P. SCHOOL,2025-12-02,09:25:17,4,3,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,No,No,No,Yes,,,7,,
