_id,villageID,blockID,districtID,schoolName,udiseCode,schoolType,schoolCategory,classFrom,classTo,location,date,__v,medium,schoolImage,updatedAt,schoolMobile,schoolPhone,schoolWebsite,schoolEmail,schoolAddress,schoolFax,curriculum,double,govtBlockId,govtDistrictId,govtVillageId,isActive,clusterCategory,clusterID,clusterName,categoryID,estd_year,managedBy,principalName,principalType,schoolLatitude,schoolLongitude,schoolPinCode,schoolPincode,status,createdAt,principalTeacherID
660faa6509c7717671d0374a,67c6cc47ba986c86a9268444,65e6b4e70346b321cc356a68,65e6b420805e43c45e04c5a4,MAWLAITENG GOVT. UP SCHOOL,17060111001,Co-ed,4 - Upper Primary only,6,8,Rural,2024-04-05T07:38:13.836Z,0,,,2025-07-10T07:29:27.751Z,9366034396,,,,MAWLAITENG EAST KHASI HILLS,,,true,170610,1706,170601110,true,Grouping Cluster 300,1706010006,KRANG CRC,68060670cdeffb7bc5d9297a,1962,1 - Department of Education,S. WAR,1- Head Master/Principal,25.48299,91.65749,793005,,,,
65e6d9d30e8403051312f345,67c6d1c6ba986c86a926ecdb,65e6b63850589fd545144658,65e6b420805e43c45e04c5a4,NONGRIM SADEW GOVT. LP,17060202101,Co-ed,1 - Primary,1,5,Rural,2024-03-05T08:37:39.638Z,0,,,2025-07-10T07:29:27.974Z,6909680201,,,,NONGRIM SADEW EAST KHASI Hills BPO Mawkriah,,,true,170601,1706,170602021,true,Grouping Cluster 729,1706020002,MAWKRIAH,6805f39ecdeffb7bc5d92977,1952,1 - Department of Education,KYNSAIBORLANG SYIEM,1- Head Master/Principal,25.45557,91.73571,793121,793121,,,
660faa5a09c7717671d0369a,65e6bcc550589fd54514469e,65e6bc9650589fd545144695,65e6b420805e43c45e04c5a4,PENIEL ENGLISH  SSA UP SCHOOL- LAITKROH,17060809304,Co-ed,4 - Upper Primary only,6,8,Rural,2024-04-05T07:38:02.286Z,0,,,2025-07-10T07:29:27.974Z,9378187832,,,,PENIEL ENGLISH SCHOOL LAITKROH,,,true,170608,1706,170608093,true,Grouping Cluster 400,1706080002,LAITKROH,68060670cdeffb7bc5d9297a,2005,14 - SSA,PDIANGHUN KHARKONGOR,1- Head Master/Principal,25.439574,91.799192,793108,,,,
660faa6409c7717671d03739,67c6d961ba986c86a9277c55,65e6bb3750589fd54514467f,65e6b420805e43c45e04c5a4,SPRINGSIDE SSA UP SCHOOL,17060600106,Co-ed,4 - Upper Primary only,6,8,Rural,2024-04-05T07:38:12.770Z,0,,,2025-07-10T07:29:27.974Z,9774081336,,,,"PDENGSHNONG, SOHRA EAST KHASI HILLS DISTRICT",,,true,170606,1706,170606001,true,Grouping Cluster 439,1706060012,LAITRYNGEW-KHLIEHSHNONG,68060670cdeffb7bc5d9297a,2009,14 - SSA,PYNBHAPAT WANRAP,1- Head Master/Principal,25.305412,91.725699,793108,,,,
66a396c53a1d5979c33d6199,66a35d91847ef156cad455e2,66a35d91847ef156cad455df,66a35ba2847ef156cad45591,GOVT. UPS MOWKAIAW,17070200101,Co-ed,7 - Upper Pr. and Secondary,6,10,Rural,,0,,,2025-07-10T07:29:27.974Z,6009011422,,,govtupsmowkaiaw@gamil.com,MOWKAIAW VILL WEST JAINTIA HILLS,,,true,170702,1707,170702001,true,Individual School,1707020001,MOWKAIAW,680606f5cdeffb7bc5d9297d,1957,1 - Department of Education,THAILEY SUTING,1- Head Master/Principal,25.524691,92.434709,793150,,,2024-07-26T12:29:57.605Z,
66a8c3bb9597a922e647a78b,66a35dc2847ef156cad4565f,66a35dc2847ef156cad4565c,660d0192d83fdbd7e0e8126d,AUXILIUM UPS,17010700908,Co-ed,4 - Upper Primary only,6,8,Rural,,0,,,2025-07-10T07:29:27.748Z,8259941214,,,auxi2ra@gmail.com,ALOTGRE TURA MEGHALAYA,,,true,170107,1701,170107009,true,Grouping Cluster 2493,1701070003,WADANANG CRC,68060670cdeffb7bc5d9297a,1993,14 - SSA,SR SONITHA R MARAK,1- Head Master/Principal,25.70421,90.38948,794002,,,2024-07-30T10:43:07.531Z,
66a8c3c19597a922e647a833,65e6bcaa50589fd545144698,65e6bc9650589fd545144695,65e6b420805e43c45e04c5a4,MAWBEH PRESBYTERIAN SSA UP SCHOOL,17060803902,Co-ed,4 - Upper Primary only,6,8,Rural,,0,,,2025-07-10T07:29:27.974Z,8837358136,,,mawbehschool@gmail.com,MAWBEH BPO MAWKDOK EAST KHASI HILLS,,,true,170608,1706,170608039,true,Grouping Cluster 637,1706080008,MAWBEH,68060670cdeffb7bc5d9297a,1999,14 - SSA,BASHANBOR LYNGDOH,1- Head Master/Principal,25.390665,91.746124,793108,,,2024-07-30T10:43:13.925Z,
66a8c3bd9597a922e647a7c1,66a35dd6847ef156cad45689,65e6b5ef50589fd545144652,65e6b420805e43c45e04c5a4,LUMSHYLLONG SSA LP SCHOOL,17060204802,Co-ed,1 - Primary,1,5,Rural,,0,,,2025-07-10T07:29:27.974Z,9402551461,,,,POMLAKRAI LIEWLONG SHILLONG,,,true,170602,1706,170602048,true,Grouping Cluster 1704,1706020004,RANGBIH BIH,6805f39ecdeffb7bc5d92977,1995,14 - SSA,D Q KHARBULI,1- Head Master/Principal,25.50583,91.80146,793010,,,2024-07-30T10:43:09.610Z,
66a8c3ba9597a922e647a76d,66a35db9847ef156cad45643,66a35c2d847ef156cad455a9,66a35ba2847ef156cad45591,SYNDAI MISSION GOVT. PS,17070305702,Co-ed,1 - Primary,1,5,Rural,,0,,,2025-07-10T07:29:27.974Z,9366785871,,,syndaimissiongovtps@gmail.com,Syndai village West jaintia hills district,,,true,170703,1707,170703057,true,Grouping Cluster 2210,1707030005,SYNDAI CLUSTER,6805f39ecdeffb7bc5d92977,1961,1 - Department of Education,SERVICE SULIANG,1- Head Master/Principal,25.183695,92.139369,793109,,,2024-07-30T10:43:06.350Z,
66a8c3c49597a922e647a87d,66a35e1d847ef156cad45734,66a35e19847ef156cad45729,660d0192d83fdbd7e0e8126d,SACRED HEART LPS,17010516401,Co-ed,1 - Primary,1,5,Rural,,0,,,2025-07-10T07:29:27.748Z,6909699858,,,,GANGBANGA P.O BARENGAPARA,,,true,170105,1701,170105164,true,Grouping Cluster 258,1701050011,KILLAPARA CRC,6805f39ecdeffb7bc5d92977,1959,14 - SSA,FR BIJU PAUL,1- Head Master/Principal,25.21304,90.22098,794002,,,2024-07-30T10:43:16.635Z,
