Sl. No,UdiseCode,SchName,School Management,School Category ,District Name,Block Name,Cluster Name,Village Name,SchLocation,Schtype,"Building Status (1-Private Owned, 2-Rented, 3-Government Owned, 4-Government School in a Rent free building, 5-NO
Building (Running in Open Place), 6-School Running in other Department Building)",Total Number of Building Blocks of the School,"Type of Boundary Wall (1-Pucca, 2-Pucca but broken, 3-Barbed wire fencing, 4-Hedges, 5-No boundary walls, 6-Others, 7-Partial,
8-Under Construction)",Dilapidated Building,Total Classrooms in Dilapidated Condition,Halls Avaible,Medical Facilities (Medical Rooms) Available,Store Room Available,"Minority managed school (1-Yes, 2-No)","Boundary wall type (1-Pucca, 2-Pucca but broken, 3- Barbed wire fencing, 4-Hedges, 5-No boundary walls, 6-Others, 7-Partial, 8-Under Construction)","Fire extinguisher available (1-Yes, 2-No)","Whether receiving free uniform (1-Yes, 2-No)","Whether receiving free Textbook for primary (1-Yes, 2-No)","Whether receiving free Textbook for upper Primary (1-Yes, 2-No)",Girls Activity Room Available ,Electricity connection Available,Ramp Available,"If yes, specify Ramp with Handrail or without Handrail",Sport Equiptment,Separate Room for Head Teacher/Principal Available,Staffroom For Teacher,Staff Quarters (Including Residential Quarters for Head Teacher/Principal and Asst. Head Teacher/Vice Principal),Total no of Class Rooms use for Instructional Purpose ,No. of classroom under construction,No. of Pucca classroom for in good condition,No. of Pucca classroom in  for major repair,No. of Pucca classroom in  for minor repair,No. of Partially Pucca classroom for  in good condition,No. of Partially Pucca classroom for  for minor repair,No. of Partially Pucca classroom for  for major repair,No. of Kuccha classroom for  in good condition,No. of Kuccha classroom for  for minor repairing,No. of Kuccha classroom for  for major repairing,Tent,Land is Available for Expansion of School Facilities,Boy toilet available,No of toilet for Boys,No of  Functional toilet for Boys,No of CWSN(Toilet)  for Boys,No of Functional CWSN (Toilet) for Boys,Girls toilet available,No of toilet for Girls,No of Functional toilet for Girls,No of CWSN(Toilet)  for Girls,No of Functional CWSN (Toilet) for Girls,Handwash facility,Hand washing Facility near Toilet,Hand washing Facility after Meals,Drinking Water Availability,Drinking Water Functional,Are there any rainwater harvesting structures implemented within the school campus? ,Has the school availed facilities provided under the Jal Jeevan Mission (JJM)?,Solar Panel ,Is your school equipped with Solar Panel for energy generation?,"         If Yes, specify whether they are  functional or not functional","Whether your school having Sanitary Pad vending Machine - For schools having Secondary and Higher Secondary Sections (1- Yes, 2- No, 3- Yes, but not functional, 4- NO, Pads available with Class Teachers, 9 Not Applicable)",Whether your school  having functional incinerator in girls toilets - For schools having Secondary and Higher Secondary Sections,Library Facility,Does the school have a designated Library room?,Does the School have book bank facility,"If yes, No of books are available",No of Librarians,No of Computers Available in the Library Room,Reading Corner Available,Power Backup Available ,Furniture Available,Playground Available,Separate Common Room For Girls ,Co-Curricular Activity Room/Arts And Crafts Room ,Integrated Science Laboratory for Secondary Details ,No of Room Available,Maths Lab for Secondary Details ,No of Room Available ,Physics Laboratory for Higher Secondary ,No of Room Available ,Chemistry Laboratory for Higher Secondary ,No of Room Available ,Biology Laboratory  for Higher Secondary,No of Room Available ,Library Room,No of Books avaialble,Computer Room ,No of computer ,Tinkering Lab,"Internet Facility available in school (1-Yes, 2-No)","Smart classroom available in school (1-Yes, 2-No)",No of Smart classroom,ICT Lab Available,ICTLab Functional, Total Number of Desktops/Laptops ,Total Number of functional desktops,Total Number of functional Laptops,Total Number of functional Tablets,Total Number of functional digital boards,Total Number of functional projectors,Hostel Facilities for Boys,Does the school have hostel facilities for Boys?,Intake capacity,No of students are currently residing in the hostel,Hostel Facilities for Girls,Does the school have hostel facilities for Girls?,Intake capacity,No of students are currently residing in the hostel
1,17070105403,UMLADANG SSA UP & RMSA SEC. SCHOOL,Government,7 - Upper Pr. and Secondary,WEST JAINTIA HILLS-1707,THADLASKEIN-170701,RAKABAH CRC-1707010006,Umladang,Rural,Co-ed,3,2,2,0,2,,,,2,2,1,Yes,N/A,Yes,No,No,Yes,Yes,Yes,No,Yes,No,5,0,4,0,1,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,No,0,0,0,0,No,No,No,No,No,No,,No,,,3,0,Yes,Yes,Yes,150,,,No,,Yes for all,Yes,No,No,No,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,76,Not Applicable,0,No,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2,17060600210,RAMKRISHNA MISSION HR. SEC.,Government Aided,3 - Pr. with Up.Pr. sec. and H.Sec.,EAST KHASI HILLS-1706,SHELLA BHOLAGANJ-170606,LAITRYNGEW-KHLIEHSHNONG CRC-1707010006,Cherrapunjee (Ct),Rural,Co-ed,1,3,1,0,0,,,,2,1,1,Yes,Yes,Yes,No,Yes,No,Not applicable,Yes,Yes,Yes,Yes,29,0,29,0,0,0,0,0,0,0,0,0,No,Yes,6,6,0,0,Yes,6,6,0,0,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,2,0,Yes,Yes,Yes,600,,,No,,Yes for all,No,No,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,21765,Yes,86,No,1,1,12,Yes,Yes,60,60,0,0,14,12,,Yes,,0,,Yes,,0
3,17060600908,SOHRA GOVT. COLLEGE,Government,11 - Higher Secondary only/Jr. College,EAST KHASI HILLS-1706,SHELLA BHOLAGANJ-170606,PDENGSHNONG CRC-1707010006,Cherrapunjee (Ct),Rural,Co-ed,3,1,1,0,0,,,,2,1,2,No,N/A,N/A,No,Yes,No,Not applicable,Yes,Yes,Yes,No,4,0,0,0,4,0,0,0,0,0,0,0,No,Yes,1,0,0,0,Yes,1,0,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,1,Functional,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,2,No,1,2,0,No,Not Applicable,2,2,0,0,0,0,,No,,0,,No,,0
4,17060709301,SENG KHASI BORDER AREA LP SCHOOL- RIMAI,Private Unaided,1 - Primary,EAST KHASI HILLS-1706,PYNURSLA-170607,NONGTYNGUR CRC-1707010006,Rimai,Rural,Co-ed,2,1,5,0,1,,,,1,5,2,No,No,N/A,No,No,No,Not applicable,No,No,No,No,1,0,0,0,0,0,0,0,0,0,1,0,Yes,No,0,0,0,0,No,0,0,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
5,17070100507,DEMTHRING PRESBYTERIAN SECONDARY SCHOOL- DEMTHRING,Private Unaided,8 - Secondary Only,WEST JAINTIA HILLS-1707,THADLASKEIN-170701,PYNTHOR LANGTEIN CRC-1707010006,Demthring,Rural,Co-ed,1,1,1,0,0,,,,2,1,2,No,N/A,N/A,No,Yes,Yes,Yes,No,No,Yes,No,2,0,2,0,0,0,0,0,0,0,0,0,Yes,Yes,1,1,1,1,Yes,1,1,1,1,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Partial,Yes,No,No,No,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,1,No,2,2,0,No,Not Applicable,1,1,0,0,0,0,,No,,0,,No,,0
6,17070101614,DEINTHARE LPS,Government,1 - Primary,WEST JAINTIA HILLS-1707,THADLASKEIN-170701,MOODYMMAI CRC-1707010006,Moodymmai,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,No,Not applicable,No,No,No,No,2,2,2,0,0,0,0,0,0,0,0,0,Yes,Yes,1,0,0,0,Yes,2,2,0,0,Yes,No,Yes,No,No,Yes,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7,17070101728,UMMULONG PRESBYTERIAN HIGHER SECONDARY SCHOOL,Private Unaided,11 - Higher Secondary only/Jr. College,WEST JAINTIA HILLS-1707,THADLASKEIN-170701,UMMULONG CRC-1707010006,Ummulong,Rural,Co-ed,1,1,1,0,0,,,,2,1,2,No,N/A,N/A,No,Yes,No,Not applicable,No,Yes,Yes,Yes,2,0,2,0,0,0,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,Yes,Yes,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,100,Yes,13,No,1,2,0,Yes,Not Applicable,13,10,0,0,0,1,,No,,0,,No,,0
8,17070101729,LITTLE FLOWER SECONDARY SCHOOL- UMMULONG,Government Aided,8 - Secondary Only,WEST JAINTIA HILLS-1707,THADLASKEIN-170701,UMMULONG CRC-1707010006,Ummulong,Rural,Co-ed,1,1,1,0,0,,,,1,1,2,Yes,N/A,N/A,No,Yes,Yes,No,No,No,Yes,No,11,0,11,0,0,0,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,Yes,No,0,,,No,,Yes for all,No,No,No,Yes,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,0,Not Applicable,10,No,2,2,0,No,Not Applicable,10,4,0,0,0,0,,No,,0,,No,,0
9,17070101730,LITTLE FLOWER HIGHER SECONDARY SCHOOL- UMMULONG,Private Unaided,11 - Higher Secondary only/Jr. College,WEST JAINTIA HILLS-1707,THADLASKEIN-170701,UMMULONG CRC-1707010006,Ummulong,Rural,Co-ed,1,1,1,0,0,,,,1,1,1,No,N/A,N/A,No,Yes,No,Not applicable,No,Yes,Yes,No,5,0,5,0,0,0,0,0,0,0,0,0,Yes,Yes,6,6,0,0,Yes,6,6,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,Yes,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Yes,,Yes,,Yes,,Yes,0,Yes,2,No,2,2,0,No,Not Applicable,2,2,0,0,0,1,,No,,0,,No,,0
10,17070101805,MOOSHYLLONG LPS,Government,1 - Primary,WEST JAINTIA HILLS-1707,THADLASKEIN-170701,MOODYMMAI CRC-1707010006,Mookyndur,Rural,Co-ed,3,2,1,0,0,,,,2,1,1,Yes,Yes,N/A,No,No,No,Not applicable,Yes,No,No,No,7,0,1,0,0,0,0,0,0,6,0,0,No,No,0,0,0,0,No,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
11,17070102320,MUKHLA RAIJ SECONDARY SCHOOL- MUKHLA,Government Aided,8 - Secondary Only,WEST JAINTIA HILLS-1707,THADLASKEIN-170701,MUKHLA CRC-1707010006,Mukhla Mission,Rural,Co-ed,3,1,1,0,0,,,,2,1,1,Yes,N/A,N/A,Yes,Yes,No,Not applicable,No,Yes,Yes,No,6,0,3,0,0,3,0,0,0,0,0,0,Yes,Yes,4,4,0,0,Yes,4,4,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,Yes,Yes,No,0,,,No,,Partial,Yes,Yes,Yes,Yes,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,95,Not Applicable,14,No,2,2,0,No,Not Applicable,12,10,0,0,0,0,,No,,0,,No,,0
12,17070102331,THE REMNANT ADVENTIST UPS,Private Unaided,4 - Upper Primary only,WEST JAINTIA HILLS-1707,THADLASKEIN-170701,MUKHLA CRC-1707010006,Lad Mukhla,Rural,Co-ed,2,1,7,0,0,,,,2,7,2,No,N/A,No,No,No,No,Not applicable,No,No,No,No,1,0,0,0,0,1,0,0,0,0,0,0,No,No,0,0,0,0,No,0,0,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Partial,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13,17070102335,PRACTISING SCHOOL BTC (DERT),Government,1 - Primary,WEST JAINTIA HILLS-1707,THADLASKEIN-170701,MUKHLA CRC-1707010116,Lad Mukhla,Rural,Co-ed,3,1,2,1,3,,,,2,2,1,Yes,Yes,N/A,No,No,Yes,Yes,No,No,Yes,No,3,0,0,0,0,0,0,3,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
14,17070113103,DA-EM-LY L.P SCHOOL,Private Unaided,6 - Pr. Up Pr. and Secondary Only,WEST JAINTIA HILLS-1707,THADLASKEIN-170701,PYNTHOR LANGTEIN CRC-1707010006,Khonsaro,Rural,Co-ed,1,12,7,0,0,,,,2,7,2,No,No,No,No,No,No,Not applicable,No,No,Yes,Yes,12,0,3,0,0,9,0,0,0,0,0,0,Yes,Yes,2,2,0,0,Yes,5,5,0,0,Yes,Yes,Yes,Yes,Yes,Yes,,No,,,3,0,No,No,No,0,,,No,, No Furniture available,No,No,No,No,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,No,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
15,17070113505,ROBERT LPS,Government,1 - Primary,WEST JAINTIA HILLS-1707,THADLASKEIN-170701,NAMDONG CRC-1707010006,Namdong B,Rural,Co-ed,3,1,2,0,0,,,,2,2,1,Yes,Yes,N/A,No,No,No,Not applicable,Yes,No,No,No,3,0,2,0,1,0,0,0,0,0,0,0,Yes,Yes,2,2,0,0,Yes,2,2,0,0,Yes,Yes,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
16,17070115138,JAINTIA SECONDARY SCHOOL- JOWAI,Government Aided,8 - Secondary Only,WEST JAINTIA HILLS-1707,THADLASKEIN-170701,LADTHALABOH CRC-1707010006,Ladthalaboh West - Ward No.2,Urban,Co-ed,1,1,1,0,0,,,,2,1,1,Yes,N/A,N/A,No,Yes,No,Not applicable,No,Yes,Yes,No,4,0,4,0,0,0,0,0,0,0,0,0,No,Yes,2,2,0,0,Yes,2,2,0,0,Yes,Yes,Yes,Yes,Yes,Yes,,No,,,2,0,Yes,Yes,No,0,,,No,,Yes for all,Yes,No,No,Yes,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,520,Not Applicable,1,No,1,2,0,No,Not Applicable,1,1,0,0,0,1,,Yes,,20,,Yes,,20
17,17070115140,ST MARY MAZZARELLO PAST PUPIL EVENING SCHOOL,Private Unaided,8 - Secondary Only,WEST JAINTIA HILLS-1707,THADLASKEIN-170701,LADTHALABOH CRC-1707010006,Ladthalaboh West - Ward No.2,Urban,Co-ed,1,1,1,0,0,,,,2,1,2,No,N/A,N/A,No,Yes,No,Not applicable,No,Yes,Yes,No,2,0,2,0,0,0,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,No,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,No,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
18,17070115142,ST MAZZARELLO PRIMARY ENGLISH SECTION (PRIVATE),Private Unaided,1 - Primary,WEST JAINTIA HILLS-1707,THADLASKEIN-170701,LADTHALABOH CRC-1707010006,Ladthalaboh West - Ward No.2,Urban,Co-ed,1,2,1,0,0,,,,2,1,1,No,No,N/A,No,Yes,No,Not applicable,No,Yes,No,No,14,0,14,0,0,0,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,4,Not Applicable,1,2,0,No,Not Applicable,4,3,0,0,0,0,,Yes,,0,,Yes,,0
19,17070115145,JAINTIA HIGHER SECONDARY SCHOOL JOWAI,Private Unaided,11 - Higher Secondary only/Jr. College,WEST JAINTIA HILLS-1707,THADLASKEIN-170701,PYNTHOR LANGTEIN CRC-1707010006,Ladthalaboh West - Ward No.2,Urban,Co-ed,1,1,1,0,0,,,,2,1,1,No,N/A,N/A,No,Yes,No,Not applicable,No,No,No,No,2,0,2,0,0,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,Yes,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,1,No,1,2,0,No,Not Applicable,1,1,0,0,0,0,,Yes,,15,,Yes,,15
20,17070115205,TPEP PALE SECONDARY SCHOOL- JOWAI,Government Aided,8 - Secondary Only,WEST JAINTIA HILLS-1707,THADLASKEIN-170701,IONGPIAH CRC-1707010006,Tpeppale - Ward No.9,Urban,Co-ed,1,1,6,0,0,,,,2,6,1,No,N/A,N/A,No,Yes,No,Not applicable,No,Yes,Yes,No,2,0,2,0,0,0,0,0,0,0,0,0,Yes,Yes,2,2,0,0,Yes,2,2,0,0,Yes,Yes,No,Yes,Yes,Yes,,No,,,2,0,Yes,Yes,No,0,,,No,,Yes for all,Yes,No,Yes,Yes,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,250,Not Applicable,3,No,1,1,1,Yes,Not Applicable,2,2,0,0,0,1,,No,,0,,No,,0
